PaperId,Year,CiteCount
1,2012,11
1,2013,12
1,2014,19
1,2015,23
1,2016,26
1,2017,17
1,2018,38
1,2019,38
1,2020,23
1,2021,22
1,2022,18
1,2023,17
1,2024,9
2,2016,6
2,2017,23
2,2018,30
2,2019,25
2,2020,37
2,2021,32
2,2022,39
2,2023,23
2,2024,23
3,1999,2
3,2001,7
3,2002,10
3,2003,4
3,2004,3
3,2005,1
3,2006,4
3,2007,9
3,2008,4
3,2009,14
3,2010,8
3,2011,3
3,2012,6
3,2013,9
3,2014,6
3,2015,4
3,2016,6
3,2017,6
3,2018,11
3,2019,9
3,2020,9
3,2021,4
3,2022,6
3,2023,3
3,2024,5
4,2011,1
4,2015,3
4,2016,8
4,2017,5
4,2018,13
4,2019,12
4,2020,7
4,2021,11
4,2022,17
4,2023,9
4,2024,8
4,2025,2
5,2003,1
5,2005,2
5,2006,4
5,2007,8
5,2008,8
5,2009,3
5,2010,10
5,2011,6
5,2012,7
5,2013,3
5,2014,3
5,2015,2
5,2017,3
5,2018,5
5,2019,2
5,2020,7
5,2021,3
5,2022,2
5,2023,1
5,2024,1
6,2013,2
6,2014,6
6,2015,9
6,2016,8
6,2017,5
6,2018,3
6,2019,12
6,2020,8
6,2021,6
6,2022,5
6,2023,7
7,2012,3
7,2013,6
7,2014,7
7,2015,9
7,2016,8
7,2017,5
7,2018,1
7,2019,6
7,2020,5
7,2021,5
7,2022,3
7,2023,5
7,2024,5
8,2017,10
8,2018,7
8,2019,3
8,2020,3
8,2021,9
8,2022,9
8,2023,10
8,2024,6
9,2002,1
9,2003,1
9,2004,4
9,2005,1
9,2006,3
9,2007,4
9,2008,3
9,2009,5
9,2010,7
9,2011,7
9,2012,3
9,2013,2
9,2014,1
9,2015,1
9,2016,1
9,2017,3
9,2018,1
9,2019,3
9,2020,1
9,2024,4
10,2016,4
10,2017,3
10,2018,4
10,2019,8
10,2020,4
10,2021,9
10,2022,7
10,2023,3
10,2024,3
11,2012,2
11,2013,4
11,2014,3
11,2015,9
11,2016,2
11,2017,5
11,2018,1
11,2019,4
11,2020,4
11,2021,1
11,2022,1
11,2023,4
11,2024,2
11,2025,1
12,2002,2
12,2003,1
12,2004,1
12,2005,2
12,2006,1
12,2007,3
12,2008,3
12,2009,1
12,2010,2
12,2011,2
12,2012,1
12,2013,2
12,2014,3
12,2015,2
12,2016,4
12,2017,1
12,2018,3
12,2019,2
12,2020,1
12,2023,1
12,2024,4
13,2011,2
13,2012,3
13,2013,3
13,2014,3
13,2015,3
13,2016,4
13,2017,4
13,2018,1
13,2019,8
13,2020,1
13,2021,1
13,2022,3
13,2023,3
14,2020,3
14,2021,8
14,2022,11
14,2023,6
14,2024,6
14,2025,1
15,2012,2
15,2013,1
15,2014,3
15,2015,9
15,2016,1
15,2017,3
15,2018,2
15,2019,4
15,2020,4
15,2021,1
15,2023,3
15,2025,1
16,2003,2
16,2004,3
16,2005,1
16,2006,2
16,2007,2
16,2008,3
16,2009,2
16,2010,3
16,2011,2
16,2012,3
16,2013,3
16,2014,1
16,2015,1
16,2016,2
16,2018,1
16,2024,2
17,2008,5
17,2009,3
17,2011,3
17,2013,3
17,2014,6
17,2015,4
17,2016,3
17,2017,3
17,2018,2
18,2002,1
18,2004,2
18,2005,3
18,2006,2
18,2007,2
18,2009,1
18,2011,2
18,2012,1
18,2013,3
18,2015,3
18,2016,2
18,2017,1
18,2018,3
18,2019,1
18,2020,1
18,2021,1
18,2023,1
18,2024,2
19,2015,2
19,2016,4
19,2017,2
19,2018,7
19,2019,2
19,2020,3
19,2021,4
19,2022,1
19,2024,5
20,2016,2
20,2017,7
20,2018,5
20,2019,3
20,2020,2
20,2021,2
20,2022,3
20,2023,3
=======
>>>>>>> origin/main
