Region,Condition,Canola
South East,Excellent,0.1368
South East,Good,0.5509
South East,Fair,0.2591
South East,Poor,0.0377
South East,Very Poor,0.0156
South West,Excellent,0.1017
South West,Good,0.3552
South West,Fair,0.3818
South West,Poor,0.1613
South West,Very Poor,0
East Central,Excellent,0.2118
East Central,Good,0.5965
East Central,Fair,0.1495
East Central,Poor,0.0421
East Central,Very Poor,0
West Central,Excellent,0.1741
West Central,Good,0.6523
West Central,Fair,0.1599
West Central,Poor,0.0136
West Central,Very Poor,0
North East,Excellent,0.1202
North East,Good,0.6393
North East,Fair,0.1848
North East,Poor,0.0438
North East,Very Poor,0.012
North West,Excellent,0.1307
North West,Good,0.3151
North West,Fair,0.4613
North West,Poor,0.0748
North West,Very Poor,0.0181
