Alpha3,Numeric,Latitude,Longitude
ALB,8,41,20
DZA,12,28,3
ASM,16,-14.3333,-170
AND,20,42.5,1.6
AGO,24,-12.5,18.5
AIA,660,18.25,-63.1667
ATA,10,-89,0
ATG,28,17.05,-61.8
ARG,32,-34,-64
ARM,51,40,45
ABW,533,12.5,-69.9667
AUS,36,-27,133
AUT,40,47.3333,13.3333
AZE,31,40.5,47.5
BHS,44,24.25,-76
BHR,48,26,50.55
BGD,50,24,90
BRB,52,13.1667,-59.5333
BLR,112,53,28
BEL,56,50.8333,4
BLZ,84,17.25,-88.75
BEN,204,9.5,2.25
BMU,60,32.3333,-64.75
BTN,64,27.5,90.5
BOL,68,-17,-65
BIH,70,44,18
BWA,72,-22,24
BVT,74,-54.4333,3.4
BRA,76,-10,-55
IOT,86,-6,71.5
BRN,96,4.5,114.6667
BGR,100,43,25
BFA,854,13,-2
BDI,108,-3.5,30
KHM,116,13,105
CMR,120,6,12
CAN,124,60,-95
CPV,132,16,-24
CYM,136,19.5,-80.5
CAF,140,7,21
TCD,148,15,19
CHL,152,-30,-71
CHN,156,35,105
CXR,162,-10.5,105.6667
CCK,166,-12.5,96.8333
COL,170,4,-72
COM,174,-12.1667,44.25
COG,178,-1,15
COD,180,0,25
COK,184,-21.2333,-159.7667
CRI,188,10,-84
CIV,384,8,-5
HRV,191,45.1667,15.5
CUB,192,21.5,-80
CYP,196,35,33
CZE,203,49.75,15.5
DNK,208,56,10
DJI,262,11.5,43
DMA,212,15.4167,-61.3333
DOM,214,19,-70.6667
ECU,218,-2,-77.5
EGY,818,27,30
SLV,222,13.8333,-88.9167
GNQ,226,2,10
ERI,232,15,39
EST,233,59,26
ETH,231,8,38
FLK,238,-51.75,-59
FRO,234,62,-7
FJI,242,-18,175
FIN,246,64,26
FRA,250,46,2
GUF,254,4,-53
PYF,258,-15,-140
ATF,260,-43,67
GAB,266,-1,11.75
GMB,270,13.4667,-16.5667
GEO,268,42,43.5
DEU,276,51,9
GHA,288,8,-2
GIB,292,36.1833,-5.3667
GRC,300,39,22
GRL,304,72,-40
GRD,308,12.1167,-61.6667
GLP,312,16.25,-61.5833
GUM,316,13.4667,144.7833
GTM,320,15.5,-90.25
GGY,831,49.5,-2.56
GIN,324,11,-10
GNB,624,12,-15
GUY,328,5,-59
HTI,332,19,-72.4167
HMD,334,-53.1,72.5167
VAT,336,41.9,12.45
HND,340,15,-86.5
HKG,344,22.25,114.1667
HUN,348,47,20
ISL,352,65,-18
IND,356,20,77
IDN,360,-5,120
IRN,364,32,53
IRQ,368,33,44
IRL,372,53,-8
IMN,833,54.23,-4.55
ISR,376,31.5,34.75
ITA,380,42.8333,12.8333
JAM,388,18.25,-77.5
JPN,392,36,138
JEY,832,49.21,-2.13
JOR,400,31,36
KAZ,398,48,68
KEN,404,1,38
KIR,296,1.4167,173
PRK,408,40,127
KOR,410,37,127.5
KWT,414,29.3375,47.6581
KGZ,417,41,75
LAO,418,18,105
LVA,428,57,25
LBN,422,33.8333,35.8333
LSO,426,-29.5,28.5
LBR,430,6.5,-9.5
LBY,434,25,17
LIE,438,47.1667,9.5333
LTU,440,56,24
LUX,442,49.75,6.1667
MAC,446,22.1667,113.55
MKD,807,41.8333,22
MDG,450,-20,47
MWI,454,-13.5,34
MYS,458,2.5,112.5
MDV,462,3.25,73
MLI,466,17,-4
MLT,470,35.8333,14.5833
MHL,584,9,168
MTQ,474,14.6667,-61
MRT,478,20,-12
MUS,480,-20.2833,57.55
MYT,175,-12.8333,45.1667
MEX,484,23,-102
FSM,583,6.9167,158.25
MDA,498,47,29
MCO,492,43.7333,7.4
MNG,496,46,105
MNE,499,42,19
MSR,500,16.75,-62.2
MAR,504,32,-5
MOZ,508,-18.25,35
MMR,104,22,98
NAM,516,-22,17
NRU,520,-0.5333,166.9167
NPL,524,28,84
NLD,528,52.5,5.75
ANT,530,12.25,-68.75
NCL,540,-21.5,165.5
NZL,554,-41,174
NIC,558,13,-85
NER,562,16,8
NGA,566,10,8
NIU,570,-19.0333,-169.8667
NFK,574,-29.0333,167.95
MNP,580,15.2,145.75
NOR,578,62,10
OMN,512,21,57
PAK,586,30,70
PLW,585,7.5,134.5
PSE,275,32,35.25
PAN,591,9,-80
PNG,598,-6,147
PRY,600,-23,-58
PER,604,-10,-76
PHL,608,13,122
PCN,612,-24.7,-127.4
POL,616,52,20
PRT,620,39.5,-8
PRI,630,18.25,-66.5
QAT,634,25.5,51.25
REU,638,-21.1,55.6
ROU,642,46,25
RUS,643,60,100
RWA,646,-2,30
SHN,654,-15.9333,-5.7
KNA,659,17.3333,-62.75
LCA,662,13.8833,-61.1333
SPM,666,46.8333,-56.3333
VCT,670,13.25,-61.2
WSM,882,-13.5833,-172.3333
SMR,674,43.7667,12.4167
STP,678,1,7
SAU,682,25,45
SEN,686,14,-14
SRB,688,44,21
SYC,690,-4.5833,55.6667
SLE,694,8.5,-11.5
SGP,702,1.3667,103.8
SVK,703,48.6667,19.5
SVN,705,46,15
SLB,90,-8,159
SOM,706,10,49
ZAF,710,-29,24
SGS,239,-54.5,-37
ESP,724,40,-4
LKA,144,7,81
SDN,736,15,30
SUR,740,4,-56
SJM,744,78,20
SWZ,748,-26.5,31.5
SWE,752,62,15
CHE,756,47,8
SYR,760,35,38
TWN,158,23.5,121
TJK,762,39,71
TZA,834,-6,35
THA,764,15,100
TLS,626,-8.55,125.5167
TGO,768,8,1.1667
TKL,772,-9,-172
TON,776,-20,-175
TTO,780,11,-61
TUN,788,34,9
TUR,792,39,35
TKM,795,40,60
TCA,796,21.75,-71.5833
TUV,798,-8,178
UGA,800,1,32
UKR,804,49,32
ARE,784,24,54
GBR,826,54,-2
USA,840,38,-97
UMI,581,19.2833,166.6
URY,858,-33,-56
UZB,860,41,64
VUT,548,-16,167
VEN,862,8,-66
VNM,704,16,106
VGB,92,18.5,-64.5
VIR,850,18.3333,-64.8333
WLF,876,-13.3,-176.2
ESH,732,24.5,-13
YEM,887,15,48
ZMB,894,-15,30
ZWE,716,-20,30
AFG,4,33,65
